title,company,country,description,url,skills
Flood Data Scientist,Iceye,Spain,"Role highlights: Flood Data Scientist Location: Espoo, Finland or Valencia, Spain Department: Solutions Reports to: Director of Product Engineering Employment type: Permanent Workplace model: Hybrid Employment is subject to applicable security screening (incl. SUPO, where required) Why this role matters: ICEYE leverages proprietary satellite-derived observations and other auxiliary data to develop geospatial flood risk models, requiring strong hydrological expertise to extract reliable signals.…",https://www.adzuna.es/details/5730898413?utm_medium=api&utm_source=fec1d0ee,rag
Sr Data Scientist,Merlin Digital Partner,Spain,"We are Merlin Digital Partner ! A leading IT and Digital headhunting company who stands out from the crowd, boasting over a decade of experience. We've successfully collaborated and played a pivotal role in the growth of industry heavyweights such as Wallapop, Glovo, Banc Sabadell among others. Our emphasis lies in people-centric approaches and optimizing the selection processes . Our mission is to revolutionize companies by seamlessly integrating top-tier talent . What sets us apart is our in-…",https://www.adzuna.es/details/5444031430?utm_medium=api&utm_source=fec1d0ee,"ner, git"
Senior Data Scientist,BidMachine,Spain,"BidMachine Exchange – a fast-growing global programmatic exchange built for the future of in-app advertising. BidMachine operates with a strong US foundation and an international presence, with teams across Warsaw, Barcelona, Parkland (FL), and remote experts around the world. We combine deep AdTech expertise, proprietary technology, and a data-driven mindset to deliver transparency, performance, and efficiency in the mobile advertising ecosystem. Why BidMachine? At BidMachine, we are building …",https://www.adzuna.es/details/5751247224?utm_medium=api&utm_source=fec1d0ee,
DATA SCIENTIST ASSOCIATE,BBVA,Spain,"· · Área: DATA Inscríbete hasta: 16/02/2023 Sociedad: 001 ¿Qué estamos buscando? SOBRE TI · Grado en Estadística, Matemáticas, Ingeniería, Actuariales, Informática. · Valorable especialización en Big Data. · Conocimientos de modelización, álgebra, econometría y/o estadística, análisis de variables, limpieza y preparación de datos. · Conocimientos de programación en Spark, Python, R, Scala. · Experiencia en diseño y manejo de bases de datos, cruces, joins y queries, en lenguajes como Hadoop, SQL…",https://www.adzuna.es/details/3913350763?utm_medium=api&utm_source=fec1d0ee,"python, sql, scala, spark, hadoop"
Senior Data Scientist,Booksy Spain,Spain,"A career at Booksy means you're part of a global team focused on helping people around the world feel great about themselves, every day. From empowering entrepreneurs to build successful businesses, to supporting customers in arranging their ""me time"" moments, we're in the business of helping people thrive. Responsibilities As a Senior Data Scientist , reporting to the Head of Data Science in our Data & Analytics team, your purpose will be to build and own machine learning powered features that…",https://www.adzuna.es/details/5752251147?utm_medium=api&utm_source=fec1d0ee,
Senior Data Scientist,Veepee,Spain,"Pioneer of online flash sales since 2001 and key player in European e-commerce, Veepee collaborates with over 7,000 brands to offer highly discounted products available for a limited time. Operating across various sectors, including fashion, home, wine, travel or beauty Veepee achieved a turnover of 3.3 billion euros incl. VAT in 2024 and employs 5,000 staff members across 10 countries. As a data scientist at Veepee, you will join our Data Science Team of 20 people, fully cloud-native and distr…",https://www.adzuna.es/details/5529780963?utm_medium=api&utm_source=fec1d0ee,
Senior Data Scientist,Longtail Technologies,Spain,"About Longtail Technologies Longtail is building an intelligent decision-streaming platform that helps airlines make smarter decisions in real time. By combining automation, proprietary algorithms, and live travel data, we enable airlines to optimize pricing, availability, and product flexibility across thousands of routes worldwide. We're a fast-growing team solving complex, real-world problems at global scale. If you enjoy uncovering insights from large datasets and building systems that infl…",https://www.adzuna.es/details/5730896759?utm_medium=api&utm_source=fec1d0ee,
Lead Data Scientist,Dow Jones & Company,Spain,"Job Description: About the Team: Our Technology team drives the evolution of our Technology, Engineering, Data, Product and User Experience functions. With a keen focus on delivering cutting-edge solutions, we shape the digital landscape for our customers, readers and users. From revolutionizing visuals to optimizing tools and harnessing the power of data, mobile, video and social platforms, our team is committed to providing a seamless and immersive experience across all touchpoints. Collabora…",https://www.adzuna.es/details/5633668290?utm_medium=api&utm_source=fec1d0ee,git
Lead Data Scientist,Monzo,Spain," We’re on a mission to make money work for everyone. We’re waving goodbye to the complicated and confusing ways of traditional banking. After starting as a prepaid card, our product offering has grown a lot in the last 10 years in the UK. As well as personal and business bank accounts, we offer joint accounts , accounts for 16-17 year olds , a free kids account and credit cards in the UK, with more exciting things to come beyond. Our UK customers can also save , invest and combine their pension…",https://www.adzuna.es/details/5549145719?utm_medium=api&utm_source=fec1d0ee,
Senior Data Scientist,Proofpoint,Spain,"About Us:Proofpoint is a global leader in human- and agent-centric cybersecurity. We protect how people, data, and AI agents connect across email, cloud, and collaboration tools. Over 80 of the Fortune 100, 10,000 large enterprises, and millions of smaller organizations trust Proofpoint to stop threats, prevent data loss, and build resilience across their people and AI workflows. Our mission is simple: safeguard the digital world and empower people to work securely and confidently. Join us in o…",https://www.adzuna.es/details/5752251283?utm_medium=api&utm_source=fec1d0ee,"gan, git"
AI Data Scientist,"UL, LLC",Spain,"UL Solutions is seeking a Data Scientist to join its AI Lab team and play a key role in developing and advancing cutting-edge AI products across the organization. This role can be based in Warsaw, Poland, or Barcelona, Spain. Please note: We do not offer sponsorship for this position.  Design and develop AI models using Machine Learning, Deep Learning, Generative AI, and Natural Language Processing techniques.  Train, test, and optimize algorithms and Large Language Models to ensure accuracy, s…",https://www.adzuna.es/details/5695286036?utm_medium=api&utm_source=fec1d0ee,"ner, gan"
Senior Data Scientist,Blacklane,Spain,"YOUR CHALLENGE:As a Senior Data Scientist within Blacklane's central data domain, you will leverage scientific and mathematical methodologies to address complex data challenges prevalent in the mobility and luxury transportation sector. In this role, you will also play a key part in scaling the data science team by owning and evolving our machine learning platform and operating model. This role involves close collaboration with product, engineering, and other data teams to enhance profitability…",https://www.adzuna.es/details/5730887335?utm_medium=api&utm_source=fec1d0ee,rag
Senior Data Scientist,Vonage,Spain,"Join Vonage and help us innovate cloud communications for businesses worldwide! Senior Data Scientist — Verify V2 Data Products, Insights & Monetization Mission Build the quantitative foundation that proves and amplifies Verify v2's value—transforming verification telemetry into a reliable, customer-facing data infrastructure that demonstrates measurable ROI, optimizes channel economics, and lays the groundwork for an autonomous identity and verification platform. You'll own the end-to-end data…",https://www.adzuna.es/details/5709754313?utm_medium=api&utm_source=fec1d0ee,
ML Engineer,ITRex Group,Spain,"About ITRex THE PLACE ITRex - AI pioneers who build systems that actually work in the real world, not just in demos. We're 250 people spread across the US and Europe, creating solutions for companies like Procter & Gamble and Shutterstock. We keep it simple, build it right, and focus on what works. THE PEOPLE We're the kind of people who don't ignore messages in Slack, who jump in to help when you're stuck on a problem, and who offer solutions instead of blame when things go sideways. We believ…",https://www.adzuna.es/details/5726949953?utm_medium=api&utm_source=fec1d0ee,
Senior ML-Engineer,Fundraise Up,Spain,"Highlights: Role: Senior ML-Engineer Location: Spain, Remote Language: Russian-speaking team; Strong English required (B2) About Us Fundraise Up is a modern fundraising platform built to make donating to nonprofits as fast and convenient as possible. We continuously innovate to reduce page load times, boost conversion rates, and support a wide range of payment methods. Each month, people around the world contribute tens of millions of dollars through our platform. The world’s leading nonprofit …",https://www.adzuna.es/details/5738199430?utm_medium=api&utm_source=fec1d0ee,
Senior ML Engineer,Paradigma Digital,Spain,"Estamos buscando una persona que sea senior en Machine Learning con experiencia en Cloud AWS para reforzar nuestro equipo de Data Las responsabilidades principales para este puesto son: Diseñar, implementar y poner en producción de soluciones de IA…",https://www.adzuna.es/details/5320732482?utm_medium=api&utm_source=fec1d0ee,"ner, aws"
AI/ML Engineer,M47labs,Spain,"About us M47 Labs is an AI Engineering company focused on providing businesses with the latest and most advanced Artificial Intelligence solutions. Our deep expertise in AI-language technologies, including NLP and LLMs, empowers businesses with custom-built cutting-edge solutions. We are dedicated to creating AI-driven applications that can understand, interpret, and respond to human language. Join us in making the future more intelligent. About you As an experienced Machine Learning Engineer, …",https://www.adzuna.es/details/5730861349?utm_medium=api&utm_source=fec1d0ee,"nlp, llm"
DS/ML Engineer,Veeva Systems,Spain,"Veeva Systems is a mission-driven organization and pioneer in industry cloud, helping life sciences companies bring therapies to patients faster. As one of the fastest-growing SaaS companies in history, we surpassed $2B in revenue in our last fiscal year with extensive growth potential ahead. At the heart of Veeva are our values: Do the Right Thing, Customer Success, Employee Success, and Speed. We're not just any public company – we made history in 2021 by becoming a public benefit corporation…",https://www.adzuna.es/details/5730859422?utm_medium=api&utm_source=fec1d0ee,gan
"AI/ML Engineer, Madrid",Air Apps,Spain,"About Air Apps At Air Apps, we believe in thinking bigger—and moving faster. We’re a family-founded company on a mission to create the world’s first AI-powered Personal & Entrepreneurial Resource Planner (PRP), and we need your passion and ambition to help us change how people plan, work, and live. Born in Lisbon, Portugal in 2018—and now with offices in both Lisbon and San Francisco—we’ve remained self-funded while reaching over 100 million downloads worldwide. Our long-term focus drives us to…",https://www.adzuna.es/details/5703007036?utm_medium=api&utm_source=fec1d0ee,ner
Senior AI/ML Engineer,Visium Sa,Spain,"As a Senior AI/ML Engineer, you are a key technical contributor responsible for developing and deploying complex AI initiatives. You will focus on the end-to-end lifecycle of ML solutions, from technical design and coding to production deployment and continuous optimization. This is a high-impact technical role. You will apply deep engineering rigor to build scalable, reliable systems that solve real-world R&D challenges. You don't just build models; you ensure they are integrated into robust s…",https://www.adzuna.es/details/5730899103?utm_medium=api&utm_source=fec1d0ee,scala
ML Engineer – Generative AI,DNV,Spain,"Description GreenPowerMonitor, a DNV company, is at the heart of the global energy transformation. We use data-driven digital solutions to optimise the performance of renewable energy installations around the world. Our work contributes to a more diverse, more sustainable global energy mix. We are looking for an ML Engineer to help create, productize and evolve generative AI solutions on Horizon, GreenPowerMonitor’s cloud platform that transforms renewable energy operational data into actionabl…",https://www.adzuna.es/details/5718248273?utm_medium=api&utm_source=fec1d0ee,"ner, git"
AI/ML Engineer Lead,MIGx AG,Spain,"JD ID JD0049 Position Name AI/ML Engineer Lead About the profile About MIGx MIGx is a global consulting company with an exclusive focus on the healthcare and life science industries, with their particularly demanding requirements on quality and regulatory aspects. We have been managing challenges and solving problems for our clients in the areas of compliance, business processes and many others. MIGx interdisciplinary teams from Switzerland, Spain and Georgia have been taking care of projects i…",https://www.adzuna.es/details/5727390729?utm_medium=api&utm_source=fec1d0ee,
ML Engineer / Data Scientist,Sdg Group,Spain,"Buscamos ampliar el equipo con compañeros que tengan ganas de desarrollar su profesión en una compañía global líder en Business Analytics y Data-Driven Solutions , que trabaja con más de 500 clientes en el mundo y con una amplia gama de servicios y soluciones. La posición abierta es para el área de Data Technologies y Data Science: departamento de SDG integrado por equipos de especialistas, que promueve la excelencia y modelos de Inteligencia Artificial y Machine Learning. Qué nos hace diferent…",https://www.adzuna.es/details/5730869975?utm_medium=api&utm_source=fec1d0ee,gan
Senior AI/ML Engineer (MLOps),Plain Concepts,Spain," We’re Growing Our AI Dream Team! Titles? Meh, we’re not big on them, but let’s call this one Data Scientist like the other colleagues at the team  As part of our international AI/ML squad, you’ll craft tailor-made solutions that wow our clients. We’re hunting for a passionate AI Engineer with a solid technical background. Your mission? Train, deploy, and put groundbreaking developments into action — and that’s just the beginning. Here’s the deal: You’ll tackle the unique challenges of AI-power…",https://www.adzuna.es/details/5659318561?utm_medium=api&utm_source=fec1d0ee,
AIML Evaluation - Senior ML Engineer,Apple,Spain,"At Apple new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Apple is a place where extraordinary people come together to do their life’s best work. Together, we build technologies and experiences people once couldn’t have imagined - and now can’t imagine living without! The AI/ML team in Madrid, Spain, is seeking an experienced ML Engineer to work on the evaluation of next-generation features for Apple Intelligence. This role is at the inte…",https://www.adzuna.es/details/5445588112?utm_medium=api&utm_source=fec1d0ee,ner
"Senior ML Engineer (LLMs, AWS)",Provectus,Spain,"Join us at Provectus to be a part of a team that is dedicated to building cutting-edge technology solutions that have a positive impact on society. Our company specializes in AI and ML technologies, cloud services, and data engineering, and we take pride in our ability to innovate and push the boundaries of what's possible. As an ML Engineer, you’ll be provided with all opportunities for development and growth. Let's work together to build a better future for everyone! Requirements: Comfortable…",https://www.adzuna.es/details/5746004124?utm_medium=api&utm_source=fec1d0ee,
Data Scientist / ML Engineer - Madrid Based,INNOCV Solutions S.L.U.,Spain,"Who are we? We are part of the Alkemy Group, specializing in driving growth through our technological expertise, tackling complex challenges, and fostering operational excellence. We are digital natives and technology-neutral thanks to our rapid adaptation capabilities and problem-solving skills in any business situation. We are passionate about technology challenges that have a significant impact on business. To address these, we have high-performance teams and the ability to quickly and effec…",https://www.adzuna.es/details/5723273561?utm_medium=api&utm_source=fec1d0ee,git
ML/MLOps Engineer [Madrid],en NEORIS,Spain,"NEORIS ahora parte de EPAM es un acelerador Digital que ayuda a las compañías a entrar en el futuro, con más de 20 años de experiencia como Socios Digitales de algunas de las compañías más importantes del mundo. Somos más de 4,000 profesionales en 11 países, con una cultura multicultural y de startup donde fomentamos la innovación, el aprendizaje continuo y la generación de soluciones de alto impacto para nuestros clientes. Principales responsabilidades: Diseñar e implementar pipelines de Machi…",https://www.adzuna.es/details/5730894503?utm_medium=api&utm_source=fec1d0ee,"ner, git"
Senior ML/AI Engineer,Wizeline,Spain,"We are: Wizeline, a global AI-native technology solutions provider, develops cutting-edge, AI-powered digital products and platforms. We partner with clients to leverage data and AI, accelerating market entry and driving business transformation. As a global community of innovators, we foster a culture of growth, collaboration, and impact. With the right people and the right ideas, there’s no limit to what we can achieve Are you a fit? Sounds awesome, right? Now, let’s make sure you’re a good fi…",https://www.adzuna.es/details/5696096398?utm_medium=api&utm_source=fec1d0ee,"rag, ner, git"
AI/ML Lead Engineer,ProwlerPro,Spain,"Primary Responsibilities ‍ Define the AI Roadmap: Collaborate with founders and Product Leads to translate business goals into a technical AI strategy, prioritizing high-impact capabilities for cloud security. Architect & Lead Development: Take full ownership of the AI-powered product architecture, from the core LLM orchestration to production deployment and monitoring. Mentor and Grow the Team: Lead code reviews, establish engineering best practices for ML/AI, and mentor other engineers to fos…",https://www.adzuna.es/details/5730826707?utm_medium=api&utm_source=fec1d0ee,"llm, ner"
Ml & Ai Engineer Various,Lenses.io,Spain,"Join us to transform how the world runs off real-time data. At Lenses.io , we're on a mission to build the intelligent operating fabric for real-time data - a fundamental shift that is redefining how global enterprises harness real-time data to power their applications & AI Agents. We're enabling the Agentic Engineering of applications and AI connected to real-time data streams. Our product is used by thousands of developers at the likes of Walmart, Lululemon, Hilton, BNP Paribas and Adidas who…",https://www.adzuna.es/details/5754685425?utm_medium=api&utm_source=fec1d0ee,
D&T Expert - Data & AI ML Ops Engineer,Dsm-firmenich,Spain,"Job Title: D\u0026T Expert \u2013 Data \u0026 AI ML Ops Engineer\n\nLocation: Barcelona, Spain\n\nJoin us as a Machine Learning Engineer to design, develop, and scale cutting-edge ML and GenAI technologies across the entire company. Collaborate with data scientists and business stakeholders to create innovative solutions that drive impactful projects. Elevate your career in a dynamic environment by implementing the latest tools and methodologies.\n\nYour key responsibilities\n\n * Provide techn…",https://www.adzuna.es/details/5730900777?utm_medium=api&utm_source=fec1d0ee,
Senior Backend Engineer (ML Platform),Happening,Spain,"As a Senior Backend Engineer in our ML Platform squad , you’ll drive the development of a brand-new ML Platform for the whole Engineering organization at Happening. You will be enabling adoption of ML and AI across all the teams and tribes in our org, and your work will directly impact platform security, user experience, and large-scale data-driven decision-making for hundreds of thousands of users daily. This role blends hands-on technical work with strategic thinking. You’ll lead by example, …",https://www.adzuna.es/details/5730881756?utm_medium=api&utm_source=fec1d0ee,gan
AI/ML Software Principal Engineer,GE Vernova,Spain,"Job Description Summary We are looking for an AI/ML Software Principal Engineer to drive the design and delivery of industrial-grade software solutions for external customers within our Grid Solutions business. This role combines product ownership, software architecture expertise, and a high-level understanding of AI/ML concepts, ensuring robust, scalable, and customer-ready solutions. Principal Engineer combine a high level of technical expertise with sound business acumen and a good understan…",https://www.adzuna.es/details/5637251137?utm_medium=api&utm_source=fec1d0ee,"scala, ner"
"Principal Engineer, AI/ML",Edwards Lifesciences,Spain,"Innovation starts from the heart. At Edwards Lifesciences, we're dedicated to developing ground-breaking technologies with a genuine impact on patients' lives. At the core of this commitment is our investment in cutting-edge information technology. This supports our innovation and collaboration on a global scale, enabling our diverse teams to optimize both efficiency and success. As part of our IT team, your expertise and commitment will help facilitate our patient-focused mission by developing…",https://www.adzuna.es/details/5699779625?utm_medium=api&utm_source=fec1d0ee,
AIOps / DevOps Engineer (IA  ML),Logicalis Spain,Spain,"En Logicalis Spain estamos buscando un AIOps/ DevOps Engineer con experiencia trabajando en entornos de Inteligencia Artificial / Machine Learning, para integrarse en nuestra BU de Data & Analytics . El equipo de Data & Analytics de Logicalis trabaja con clientes nacionales e internacionales, llevando a cabo importantes proyectos de inteligencia artificial y analítica avanzada, estrategia del dato, gobierno, integración y arquitectura, abarcando todo el ciclo de vida del dato. REQUISITOS TÉCNIC…",https://www.adzuna.es/details/5730868976?utm_medium=api&utm_source=fec1d0ee,
Staff MLOps Engineer (AI/ML Platform),Cint,Spain,"Job Description The Role We're hiring a Staff MLOps Engineer to own the AI/ML platform at Cint. The immediate focus is supporting the Synthetic Data Platform — models for survey augmentation and respondent profiling — but the role's longer-term remit is broader: Trust Score (our respondent quality and fraud detection model) and other AI/ML initiatives need the same platform capabilities. You'll start by reviewing the current setup and deciding whether to extend it or rebuild parts of it, then b…",https://www.adzuna.es/details/5729361784?utm_medium=api&utm_source=fec1d0ee,mlops
Video Synthesis Engineer,Unith,Spain," Video Synthesis EngineerHybrid · Tech Team · Full-time  Barcelona, SpainIn a few words· Own and scale real-time video synthesis for lifelike digital humans· Production-first ML role bridging research → deployment· Focus on latency, quality, and reliability at scale·  Barcelona (hybrid) or remote in Europe |  €45k–€65kWhy this role is exciting: You’ll work on cutting-edge digital human technology where your production optimizations have immediate, visible impact on real users and global enterpr…",https://www.adzuna.es/details/5730886568?utm_medium=api&utm_source=fec1d0ee,git
"Machine Learning Engineer, Amazon Tablets","Amazon Spain Services, S.L.U.",Spain,"At Amazon Devices & Services, we believe that ideas can change the world. We build the technology that becomes part of everyday life and connects millions of people in ways never thought possible. We engineer high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced game-changing devices like Fire tablets, Fire TV, Amazon Dash, and Amazon Echo. Join us as a Software Development Engineer to help us imagine the future, and let's make it reality…",https://www.adzuna.es/details/5730132576?utm_medium=api&utm_source=fec1d0ee,
MLOps ENGINEER,Neoris,Spain,"Tras más de 25 años de experiencia en el sector, NEORIS ofrece carrera de especialización técnica a su valor humano. Nuestro objetivo es seguir creciendo y para eso queremos que te unas a nosotros y nos ayudes a mejorar día a día. Seguimos ampliando equipos y buscamos personas que compartan nuestra cultura y valores, entre ellos, responsabilidad , cooperación y trabajo en equipo , creatividad y esfuerzo . Unete a nuestro equipo como MLOps ENGINEER  Based in Barcelona for working hybrid (2 days …",https://www.adzuna.es/details/5730862359?utm_medium=api&utm_source=fec1d0ee,mlops
Senior Machine Learning/Staff Engineer,Smadex SLU,Spain,"Smadex is a leading advertising technology company founded in Barcelona in 2011 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are one of the top mobile ad-tech companies in the world and the largest Demand Side Platform (DSP) based in Europe, with our revenues over $100M and consistently growing 40% YoY over the past years. Our mission is to continue to improve our ad-tech platform to help our clients achieve their programmatic advertising campaign goals, and w…",https://www.adzuna.es/details/5716297115?utm_medium=api&utm_source=fec1d0ee,
Machine Learning / Deep Learning Engineer,Smadex Slu,Spain,"Smadex is a leading advertising technology company founded in Barcelona in 2010 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are one of the top mobile ad-tech companies in the world and the largest Demand Side Platform (DSP) based in Europe, with our revenues over $100M and consistently growing 40% YoY over the past years. We compete in a highly advanced technology-driven industry where Machine Learning and cutting-edge cloud-based big data architectures are t…",https://www.adzuna.es/details/5730900408?utm_medium=api&utm_source=fec1d0ee,
"R&D Internship - 6G Cellular Systems in Malaga, Spain | Keysight Technologies, Inc.",Unknown,Spain,"Overview Keysight is on the forefront of technology innovation, delivering breakthroughs and trusted insights in electronic design, simulation, prototyping, test, manufacturing, and optimization. Our ~ employees create world-class solutions in communications, 5G, automotive, energy, quantum, aerospace, defense, and semiconductor markets for customers in over 100 countries. Learn more about what we do. Our award-winning culture embraces a bold vision of where technology can take us and a passion…",https://www.adzuna.es/details/5278395171?utm_medium=api&utm_source=fec1d0ee,ner
Staff AI Engineer - Notebooks,Datadog,Spain,"We're looking for a Staff Software Engineer with deep experience in AI/ML to join the Notebooks team. Datadog Notebooks provide a flexible tool for ad-hoc data analysis, collaborative investigations, and technical documentation. Its fluidity makes it an ideal surface for agents and humans to interact. The Notebook team is building AI-driven workflows for natural-language data analysis, assisted graph generation, automated investigations, and more. You will act as a technical leader in this doma…",https://www.adzuna.es/details/5739272687?utm_medium=api&utm_source=fec1d0ee,ner
AI Engineer Mid-level,TECH UNIVERSIDAD,Spain,"TECH UNIVERSIDAD Las Rozas (Madrid) Experiencia Al menos 2 años de experiencia Salario Retribución sin especificar Área – Puesto Tecnología e informática Analista-Programador/a Data Analyst Categoría o nivel Técnico/a Vacantes 1 Inscritos 2 Contrato Contrato Indefinido Jornada Completa Proceso de selección continuo. Funciones ¿Quiénes somos? TECH es la mayor universidad digital del mundo. Con un impresionante catálogo de más de 14.000 programas académicos disponibles en 11 idiomas, se posiciona…",https://www.adzuna.es/details/5722578909?utm_medium=api&utm_source=fec1d0ee,git
Enterprise AI Program Manager (Madrid - Hybrid),Montarelo Recruiting,Spain,"The company: Our customer is a technology-based startup with solid funding that is in the midst of expansion.They will hire the selected candidate as an internal and permanent employee, based in Madrid, but providing services to their global organization.Description of the position:We’re looking for an Enterprise AI Program Manager for its global operations in Madrid. As Enterprise AI Program Manager, you will have a direct impact on the company’s innovation strategy, orchestrating generative A…",https://www.adzuna.es/details/5730882836?utm_medium=api&utm_source=fec1d0ee,"ner, gan"
MLOPS ENGINEER,Neoris,Spain,"NEORIS, an EPAM COMPANY is a global consulting and technology solutions company. We specialize in digital transformation, offering services such as enterprise system implementation, technology integration, application development, data analysis, and cloud solutions. We also work in areas like artificial intelligence, automation, and digital strategies to help organizations modernize their processes and improve their efficiency. With over 20 years of experience in the technology sector, Neoris o…",https://www.adzuna.es/details/5730862342?utm_medium=api&utm_source=fec1d0ee,"gan, git"
AI Systems Engineer (LLM & RAG Optimization),Airbus,Spain,"Job Description: Airbus Defence & Space is looking for an LLM Inference Engineer to optimize the efficiency and scalability of Generative AI systems. The selected candidate will join the Architecture & Integration team at CLAEX, in Torrejón de Ardoz Air Base, with the goal of optimizing the deployment and performance of Large Language Models (LLMs). Their mission will be to ensure that AI systems are fast, accurate, and capable of serving multiple simultaneous users, laying the groundwork for f…",https://www.adzuna.es/details/5730826621?utm_medium=api&utm_source=fec1d0ee,"scala, llm, ner"
Senior MLOps Engineer(LLMs) (Master),Multiverse Computing,Spain,"Multiverse Computing Multiverse is a well-funded and fast-growing deep-tech company founded in 2019. We are the biggest Quantum Software company in the EU. We are also one of the 100 most promising companies in AI in the world (according to CB Insights, 2023) with 150 employees and growing, fully multicultural and international. We provide hyper-efficient software to companies seeking to gain an edge with quantum computing and artificial intelligence. Our main products, Singularity and Compacti…",https://www.adzuna.es/details/5730864640?utm_medium=api&utm_source=fec1d0ee,
MLOps Engineer (LLMs),Multiverse Computing,Spain,"Multiverse Computing Multiverse is a well-funded and fast-growing deep-tech company founded in 2019. We are the biggest Quantum Software company in the EU. We are also one of the 100 most promising companies in AI in the world (according to CB Insights, 2023) with 150 employees and growing, fully multicultural and international. We provide hyper-efficient software to companies seeking to gain an edge with quantum computing and artificial intelligence. Our main products, Singularity and Compacti…",https://www.adzuna.es/details/5730864760?utm_medium=api&utm_source=fec1d0ee,
MLOps Engineer,Multiverse Computing,Spain,"Multiverse Computing Multiverse is a well-funded, fast-growing deep-tech company founded in 2019. We are the largest quantum software company in the EU and have been recognized by CB Insights (2023 and 2025) as one of the 100 most promising AI companies in the world. With 180 employees and growing, our team is fully multicultural and international. We deliver hyper-efficient software for companies seeking a competitive edge through quantum computing and artificial intelligence. Our flagship pro…",https://www.adzuna.es/details/5738199838?utm_medium=api&utm_source=fec1d0ee,
Deep Learning Engineer,THEKER ROBOTICS SL,Spain,"About Us At THEKER, we’re taking on one of the greatest challenges of the 21st century: redefining how physical work gets done in the world. We are a robotics and AI company building intelligent, adaptable systems that solve problems traditional automation never could. From Barcelona, our mission is to create a generation-defining company leading the robotics revolution. By joining us, you will have the chance to do the most meaningful work of your life, setting a new standard for industrial au…",https://www.adzuna.es/details/5401583904?utm_medium=api&utm_source=fec1d0ee,ner
Senior Computer Vision Deep Learning Engineer [Valencia],Tyris AI - Vision & Predictive Analytics,Spain,"Tyris AI es una compañía tecnológica líder en el desarrollo e implantación de sistemas de Inteligencia Artificial basados en tecnologías innovadoras de Visión por Computador , Análisis Predictivo de datos y NLP con Machine Learning y Deep Learning. Sus soluciones se centran en la optimización inteligente de procesos en sectores como automoción, construcción, metal, agua o portuario con grandes compañías como Michelin, Ford, Sacyr o Thyssen Group. Gracias al proceso de expansión continua en Tyri…",https://www.adzuna.es/land/ad/5710440328?se=Khy5M2Ni8RGHk5mrcEw0_Q&utm_medium=api&utm_source=fec1d0ee&v=DE2FA2B76DC0450E5EE44EC52ED8DE650A4A29B4,nlp
Mid-Level Computer Vision & 3D Deep Learning Engineer,Trabajos en Crisalix,Spain,"About the role: We are looking for a Computer Vision Engineer with a solid background in deep learning and 3D data processing to join our team. You will work on developing and deploying models that understand and reconstruct the visual world, contributing to production-grade pipelines that take multi-view 2D images and produce high-quality 3D reconstructions (from statistical shape models to implicit neural representations and texture synthesis). at the intersection of classical 3D geometry and…",https://www.adzuna.es/details/5727379385?utm_medium=api&utm_source=fec1d0ee,computer vision
Mid-Level Computer Vision & 3D Deep Learning Engineer,Crisalix,Spain,"Crisalix – Redefining Aesthetic Visualization Crisalix is the world's leading technology company in 3D imaging and aesthetic simulation. Leveraging the latest advancements in Artificial Intelligence , Computer Vision and Augmented Reality , our proprietary technology enables the creation of highly accurate 3D reconstructions of the human body and lifelike simulations of aesthetic procedures. With a global presence across five continents , Crisalix empowers some of the world's most recognized pl…",https://www.adzuna.es/details/5754688568?utm_medium=api&utm_source=fec1d0ee,"rag, computer vision"
Deep Learning Engineer - Model Compression - Fixed Term Contract - Llms / Genai,European Recruitment,Spain,"Senior Principal Consultant | Semiconductor, Embedded Systems, AI, Robotics and Machine LearningAre you passionate about pushing the boundaries of AI? Join our client and help design, train, and optimize cutting-edge deep learning models, including LLMs and computer vision architectures. In this role, you will apply advanced model compression techniques such as pruning, distillation, quantization, and low-rank factorization to make large-scale AI models faster, smaller, and more efficient. Thes…",https://www.adzuna.es/details/5752252048?utm_medium=api&utm_source=fec1d0ee,"llm, computer vision"
Senior Llm Engineer - Large Language Models / Transformer Models / Deep Learning / Pytorch,European Recruitment,Spain,"Senior LLM Engineer - Large Language Models / Transformer Models / Deep Learning / PyTorch We're currently supporting an organization at the forefront of AI and quantum-inspired technologies, and they're looking to bring in both Mid and Senior level LLM Engineers to join their growing team. This is a great opportunity to work on genuinely cutting-edge problems, combining Large Language Models with novel approaches to improve performance, efficiency, and scalability across a range of real-world …",https://www.adzuna.es/details/5752251296?utm_medium=api&utm_source=fec1d0ee,"scala, llm, gan"
"AI PhD Intern, Sound Experiences Lab",Dolby,Spain,"As an intern, you will join the Research team to develop innovative AI solutions for spatial audio processing. Enrolled in a PhD program on subjects related to audio processing and AI for the entire duration of the internship. Demonstrable experience in signal processing applied to audio. Demonstrable experience in AI applied to audio, with hands-on experience in at least one deep learning framework in Python. Solid mathematical background. Experience in research, reflected in research publicat…",https://www.adzuna.es/details/5730861207?utm_medium=api&utm_source=fec1d0ee,python
